,Setor,Acao,Empresa,Qntd_teorica,Part_%,SubSetor,Part_%_acum
64,Mats Básicos ,CMIN3,CSNMINERACAO,1120593365,0.3,Mineração,95.55299999999997
65,Consumo Cíclico ,SOMA3,GRUPO SOMA,489194623,0.3,Comércio,95.85299999999997
66,Consumo Cíclico ,VIIA3,VIA,1596295753,0.251,Comércio,96.10399999999997
67,Diverso,YDUQ3,YDUQS PART,300833122,0.239,Diversos,96.34299999999998
68,Utilidade Públ ,ENBR3,ENERGIAS BR,230931405,0.238,Energ Elétrica,96.58099999999997
69,Consumo Cíclico ,ALPA4,ALPARGATAS,225463777,0.235,Tecid Vest Calç,96.81599999999997
70,Diverso,COGN3,COGNA ON,1828106676,0.229,Diversos,97.04499999999997
71,Consumo Cíclico ,PETZ3,PETZ,301553522,0.224,Comércio,97.26899999999998
72,Saúde,FLRY3,FLEURY,303425821,0.216,SM Hosp An.Diag,97.48499999999997
73,Consumo Cíclico,CYRE3,CYRELA REALT,281609283,0.198,Constr Civil,97.68299999999996
74,Financeiro e Outros,CIEL3,CIELO,1144359228,0.189,Serviços Financeiros Diversos,97.87199999999996
75,Saúde,QUAL3,QUALICORP,277027077,0.183,SM Hosp An.Diag,98.05499999999996
76,Mats Básicos ,DXCO3,DEXCO,295712871,0.178,Madeira e Papel,98.23299999999996
77,Financ e Outros ,IRBR3,IRBBRASIL RE,1255286531,0.175,Previd  Seguros,98.40799999999996
78,Cons N Cíclico ,PCAR3,P.ACUCAR-CBD,156946474,0.172,Comércio Distr.,98.57999999999996
79,Tec.Informação,LWSA3,LOCAWEB,431783548,0.16,Programas Servs,98.73999999999995
80,Cons N  Básico ,BEEF3,MINERVA,254073639,0.16,Alimentos Processados,98.89999999999995
81,Financ e Outros ,IGTI11,IGUATEMI S.A,169637560,0.159,Explor Imóveis,99.05899999999995
82,Financ e Outros ,BPAN4,BANCO PAN,341124068,0.151,Interms Financs,99.20999999999995
83,Consumo Cíclico,MRVE3,MRV,294643879,0.15,Constr Civil,99.35999999999996
84,Consumo Cíclico,CVCB3,CVC BRASIL,224231429,0.149,Viagens e Lazer,99.50899999999996
85,Bens Indls,GOLL4,GOL,167095214,0.126,Transporte,99.63499999999996
86,Bens Indls,ECOR3,ECORODOVIAS,339237914,0.118,Transporte,99.75299999999996
87,Consumo Cíclico,JHSF3,JHSF PART,305915142,0.087,Constr Civil,99.83999999999996
88,Consumo Cíclico,EZTC3,EZTEC,101618236,0.078,Constr Civil,99.91799999999996
89,Tec.Informação,CASH3,MELIUZ,548153725,0.052,Programas Servs,99.96999999999997
90,Comput e Equip,POSI3,POSITIVO TEC,78053723,0.03,Comput e Equips,99.99999999999997
